09-05 22:49:16.839: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:16.859: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:16.859: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:16.879: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.033384256811015145, loss=0.0011947431302270011, bestCard=TWO SWORDS]
09-05 22:49:17.139: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.139: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.179: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.219: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KNIGHT CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.04918032786885246, bestCard=TWO SWORDS]
09-05 22:49:17.279: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.279: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.289: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.359: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.359: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KING CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.06557377049180328, bestCard=TWO SWORDS]
09-05 22:49:17.379: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs THREE CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.16393442622950818, bestCard=TWO SWORDS]
09-05 22:49:17.389: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.399: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.459: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.469: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.479: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.489: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.499: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.519: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.559: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.579: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.599: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
